Giorno;Visualizzazioni di pagina;;;
1/1/23;673335;;;
1/2/23;283692;;;
1/3/23;259337;;;
1/4/23;102197;;;
1/5/23;99622;;;
1/6/23;190938;;;
1/7/23;98453;;;
1/8/23;145525;;;
1/9/23;219875;;;
1/10/23;523824;;;
1/11/23;199107;;;
1/12/23;97252;;;
1/13/23;150343;;;
1/14/23;243250;;;
1/15/23;224695;;;
1/16/23;132273;;;
1/17/23;157337;;;
1/18/23;169925;;;
1/19/23;207526;;;
1/20/23;177331;;;
1/21/23;124528;;;
1/22/23;84123;;;
1/23/23;128921;;;
1/24/23;323335;;;
1/25/23;194000;;;
1/26/23;184965;;;
1/27/23;329177;;;
1/28/23;331302;;;
1/29/23;238102;;;
1/30/23;152617;;;
1/31/23;234218;;;
2/1/23;148029;;;
2/2/23;146916;;;
2/3/23;233664;;;
2/4/23;365656;;;
2/5/23;267663;;;
2/6/23;199076;;;
2/7/23;154099;;;
2/8/23;103329;;;
2/9/23;74623;;;
2/10/23;97705;;;
2/11/23;77868;;;
2/12/23;84262;;;
2/13/23;85275;;;
2/14/23;184246;;;
2/15/23;173186;;;
2/16/23;110874;;;
2/17/23;205308;;;
2/18/23;257666;;;
2/19/23;147670;;;
2/20/23;177548;;;
2/21/23;153695;;;
2/22/23;206781;;;
2/23/23;141455;;;
2/24/23;83328;;;
2/25/23;113414;;;
2/26/23;171759;;;
2/27/23;214136;;;
2/28/23;229154;;;
3/1/23;235888;;;
3/2/23;232068;;;
3/3/23;131383;;;
3/4/23;106170;;;
3/5/23;93754;;;
3/6/23;68511;;;
3/7/23;155158;;;
3/8/23;228398;;;
3/9/23;253886;;;
3/10/23;289109;;;
3/11/23;276567;;;
3/12/23;153985;;;
3/13/23;73688;;;
3/14/23;107258;;;
3/15/23;58858;;;
3/16/23;91111;;;
3/17/23;110319;;;
3/18/23;227370;;;
3/19/23;223540;;;
3/20/23;113747;;;
3/21/23;99738;;;
3/22/23;97620;;;
3/23/23;100486;;;
3/24/23;120324;;;
3/25/23;156954;;;
3/26/23;121028;;;
3/27/23;99862;;;
3/28/23;132113;;;
3/29/23;114832;;;
3/30/23;158487;;;
3/31/23;139749;;;
4/1/23;188090;;;
4/2/23;306372;;;
4/3/23;206692;;;
4/4/23;189048;;;
4/5/23;161786;;;
4/6/23;213931;;;
4/7/23;151934;;;
4/8/23;200283;;;
4/9/23;221513;;;
4/10/23;74793;;;
4/11/23;76552;;;
4/12/23;108276;;;
4/13/23;86262;;;
4/14/23;164000;;;
4/15/23;411594;;;
