Pagina,Views,Uniche,Tempo,Entrate,Rimbalzo,uscita,Valore,Author,title,Date
/innovazione/scienze/ora-sappiamo-qual-e-il-cane-piu-intelligente-del-mondo-e-non-e-il-border-collie/,788649,717445,"193,58",714522,"73,92%","90,50%","0,00",Andrea Centini,Ora sappiamo qual è il cane più intelligente del mondo (e non è il border collie),2023-01-09T13:00:00+01:00
/innovazione/scienze/come-si-spiega-laumento-del-79-dei-casi-di-cancro-nelle-persone-sotto-i-50-anni/,708291,650975,"302,50",648337,"63,87%","90,89%","0,00",Valeria Aiello,Come si spiega l’aumento del 79% dei casi di cancro nelle persone sotto i 50 anni,2023-09-06T15:05:46+02:00
/innovazione/scienze/studio-svela-4-sintomi-legati-al-cancro-al-colon-retto-nei-giovani-casi-in-aumento/,619337,570308,"248,46",567115,"67,05%","91,37%","0,00",Andrea Centini,Studio svela 4 sintomi legati al cancro al colon retto nei giovani: casi in aumento,2023-05-04T12:20:31+02:00
/innovazione/scienze/cose-lattacco-ipomaniacale-il-disturbo-mentale-che-ha-colpito-fedez-a-causa-della-depressione/,605386,560880,"337,41",554741,"65,03%","90,77%","0,00",Andrea Centini,"Cos’è l’attacco ipomaniacale, il disturbo mentale che ha colpito Fedez a causa della depressione",2023-10-09T12:50:42+02:00
/innovazione/tecnologia/buon-anno-2024-immagini-divertenti-e-gif-gratis-per-gli-auguri-di-capodanno/,604875,439597,"250,36",438264,"45,63%","72,20%","0,00",Redazione Innovazione,"Buon anno 2024, immagini divertenti e Gif gratis per gli auguri di Capodanno",2023-12-31T12:58:17+01:00
/innovazione/scienze/un-fluido-misterioso-sta-fuoriuscendo-dal-fondale-marino-possibile-segnale-di-terremoti-in-arrivo/,604584,560846,"262,43",557087,"69,36%","91,82%","0,00",Andrea Centini,Un fluido misterioso sta fuoriuscendo dal fondale marino: possibile segnale di terremoti in arrivo,2023-04-14T18:07:29+02:00
/innovazione/scienze/lemorragia-interna-di-fedez-per-due-ulcere-cose-e-quali-sono-le-possibili-cause-del-problema/,572752,529468,"356,52",527695,"64,00%","91,61%","0,00",Valeria Aiello,L’emorragia interna di Fedez per due ulcere: cos’è e quali sono le cause del problema,2023-09-30T12:21:47+02:00
/innovazione/scienze/cose-il-botulino-nel-cibo-i-sintomi-come-riconoscerlo-ed-evitarlo/,536842,483332,"308,43",480686,"72,75%","88,36%","0,00",Andrea Centini,"Cos’è il botulino nel cibo: i sintomi, come riconoscerlo ed evitarlo",2023-11-02T14:17:58+01:00
/innovazione/scienze/la-donna-con-due-vagine-racconta-la-sua-storia-era-difficile-parlarne-anche-con-mia-madre/,490500,440220,"251,50",438729,"76,37%","89,01%","0,00",Valeria Aiello,La donna con due vagine racconta la sua storia: “Era difficile parlarne anche con mia madre”,2022-12-29T19:06:10+01:00
/innovazione/scienze/sorpresa-molti-bagliori-rossi-del-5-novembre-non-erano-laurora-boreale-cose-successo-nel-cielo/,459626,415561,"228,64",411950,"72,32%","87,84%","0,00",Andrea Centini,"Sorpresa, molti bagliori rossi del 5 novembre non erano l’aurora boreale: cos’è successo nel cielo",2023-11-07T08:56:15+01:00
