Pagina;Views;Uniche;Tempo;Entrate;Rimbalzo;uscita;Valore
/innovazione/scienze/ora-sappiamo-qual-e-il-cane-piu-intelligente-del-mondo-e-non-e-il-border-collie/;788649;717445;193,58;714522;73,92%;90,50%;0,00
/innovazione/scienze/come-si-spiega-laumento-del-79-dei-casi-di-cancro-nelle-persone-sotto-i-50-anni/;708291;650975;302,50;648337;63,87%;90,89%;0,00
/innovazione/scienze/studio-svela-4-sintomi-legati-al-cancro-al-colon-retto-nei-giovani-casi-in-aumento/;619337;570308;248,46;567115;67,05%;91,37%;0,00
/innovazione/scienze/cose-lattacco-ipomaniacale-il-disturbo-mentale-che-ha-colpito-fedez-a-causa-della-depressione/;605386;560880;337,41;554741;65,03%;90,77%;0,00
/innovazione/tecnologia/buon-anno-2024-immagini-divertenti-e-gif-gratis-per-gli-auguri-di-capodanno/;604875;439597;250,36;438264;45,63%;72,20%;0,00
/innovazione/scienze/un-fluido-misterioso-sta-fuoriuscendo-dal-fondale-marino-possibile-segnale-di-terremoti-in-arrivo/;604584;560846;262,43;557087;69,36%;91,82%;0,00
/innovazione/scienze/lemorragia-interna-di-fedez-per-due-ulcere-cose-e-quali-sono-le-possibili-cause-del-problema/;572752;529468;356,52;527695;64,00%;91,61%;0,00
/innovazione/scienze/cose-il-botulino-nel-cibo-i-sintomi-come-riconoscerlo-ed-evitarlo/;536842;483332;308,43;480686;72,75%;88,36%;0,00
/innovazione/scienze/la-donna-con-due-vagine-racconta-la-sua-storia-era-difficile-parlarne-anche-con-mia-madre/;490500;440220;251,50;438729;76,37%;89,01%;0,00
/innovazione/scienze/sorpresa-molti-bagliori-rossi-del-5-novembre-non-erano-laurora-boreale-cose-successo-nel-cielo/;459626;415561;228,64;411950;72,32%;87,84%;0,00
/innovazione/scienze/nelloceano-indiano-ce-un-enorme-buco-gravitazionale-e-forse-abbiamo-finalmente-capito-perche/;458077;420473;273,79;417991;66,19%;90,06%;0,00
/innovazione/scienze/gigantesco-buco-apparso-sul-sole-e-rivolto-verso-la-terra-tempeste-solari-attese-oggi-e-domani/;445098;394123;237,75;392068;43,10%;85,86%;0,00
/innovazione/tecnologia/che-video-stavano-girando-gli-youtuber-di-roma-prima-dello-schianto-50-ore-su-una-lamborghini/;432974;378008;279,22;376577;59,34%;86,36%;0,00
/innovazione/tecnologia/buon-natale-2023-immagini-di-auguri-e-gif-da-scaricare-gratis-il-25-dicembre/;395860;306301;259,21;302377;46,90%;75,28%;0,00
/innovazione/scienze/maurizio-costanzo-era-un-sincero-amante-degli-animali-qual-era-il-suo-preferito-e-perche/;395248;334335;154,71;332770;76,81%;83,94%;0,00
/innovazione/scienze/finalmente-sappiamo-cose-la-sirena-di-enjuin-venerata-in-un-tempio-giapponese/;390635;355008;194,95;353857;72,30%;90,24%;0,00
/innovazione/scienze/come-capire-se-una-persona-sta-dicendo-una-bugia-secondo-la-scienza-basta-osservare-un-solo-segnale/;388963;360138;313,25;356888;68,10%;91,83%;0,00
/innovazione/scienze/temperatura-superficiale-infernale-in-spagna-oltre-60-c-in-italia-attesi-quasi-50-c-nel-weekend/;350827;316717;264,96;314511;66,95%;88,77%;0,00
/innovazione/scienze/femmina-di-gibbone-partorisce-un-cucciolo-ma-era-sola-da-tempo-zoo-svela-il-mistero/;345201;312389;215,66;307950;78,55%;88,98%;0,00
/innovazione/scienze/lafrica-si-sta-spezzando-in-due-continenti-divisi-da-un-nuovo-oceano/;330950;305488;259,40;300303;75,53%;90,69%;0,00
/innovazione/scienze/mamma-cervo-aiuta-il-suo-cucciolo-appena-nato-ad-attraversare-la-strada-il-video-adorabile/;314142;265758;153,52;263784;73,99%;83,84%;0,00
/innovazione/tecnologia/il-miliardario-che-vuole-vivere-per-sempre-dorme-in-una-stanza-in-cui-ci-sono-solo-tre-oggetti/;307732;282333;318,10;278821;71,67%;89,97%;0,00
/innovazione/scienze/perche-riceviamo-il-dna-mitocondriale-solo-dalla-madre-e-non-dal-padre-svelato-il-mistero-biologico/;296557;270169;336,87;267715;62,78%;88,97%;0,00
/innovazione/tecnologia/libero-mail-e-virgilio-oggi-ancora-in-down-perche-non-funzionano-e-la-situazione-aggiornata/;295440;271857;324,06;268301;48,24%;89,52%;0,00
/innovazione/tecnologia/libero-mail-oggi-funziona-ma-non-per-tutti-cosa-succede-e-quando-si-potra-fare-login/;289957;265495;288,20;261388;52,87%;89,70%;0,00
/innovazione/scienze/questo-e-il-cane-piu-anziano-del-mondo-ecco-quanti-anni-ha/;287712;259686;177,50;255217;75,99%;88,91%;0,00
/innovazione/tecnologia/il-gamepad-logitech-e-sopravvissuto-allimplosione-del-titan-cosa-sappiamo-della-foto-virale/;278179;254823;258,85;252946;67,08%;90,11%;0,00
/innovazione/scienze/perche-la-cina-ha-iniziato-a-scavare-un-buco-profondo-oltre-10-chilometri/;276542;256820;344,99;251162;65,91%;90,47%;0,00
/innovazione/scienze/quali-sono-i-mari-e-i-laghi-piu-inquinati-ditalia/;269634;236523;273,76;234061;52,80%;86,10%;0,00
/innovazione/scienze/cose-la-tanatoprassi-la-tecnica-usata-per-imbalsamare-papa-benedetto-xvi-e-pele/;268476;237703;203,90;235046;64,04%;87,31%;0,00
/innovazione/tecnologia/i-servizi-libero-mail-e-virgilio-non-funzionano-perche-da-tutto-il-giorno-ci-sono-problemi-per-accedere/;259585;240714;295,32;238347;52,88%;91,91%;0,00
/innovazione/scienze/magnifica-eclissi-anulare-sabato-14-ottobre-a-che-ora-e-come-vede-lanello-di-fuoco/;256940;237867;258,40;235357;64,91%;91,21%;0,00
/innovazione/scienze/eclissi-lunare-parziale-oggi-e-luna-piena-il-28-ottobre-2023-a-che-ora-e-dove-vederla-dallitalia/;253519;225003;313,27;224528;60,54%;88,01%;0,00
